CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
483,25.90587701242089,6,32116.9925503402,1,1,0,64923.439818141545,1,1,1
422,61.4584888508532,1,42577.61468731466,3,1,0,131339.96317373466,1,1,0
700,32.847970226184145,7,233318.04623119716,4,1,0,122524.97585318582,1,0,1
593,53.03851128856742,9,115755.74532940985,3,0,1,95384.92839360842,1,0,0
579,80.05784066639275,9,183078.88610271126,3,0,1,110352.72419152576,0,1,0
497,81.81510067939337,8,20411.48212058746,2,0,0,64318.507668894046,0,1,1
810,25.74743060586601,5,163122.95085410489,3,0,1,142270.40100843465,1,1,0
443,71.45351607548673,4,233611.8303563024,1,0,0,23482.34751284737,0,1,1
500,64.95882125673586,0,76042.92062835243,3,1,0,33120.72795662511,0,0,0
423,58.87132438295598,0,146816.33712040263,4,1,1,140321.99819431445,1,1,0
486,18.137888533472157,8,238352.39430885768,3,0,0,142856.71142107324,1,0,0
625,59.813168471492645,3,182353.50908390043,4,1,1,83774.23048380687,1,1,0
763,60.68809048766793,0,15799.969019515702,4,1,0,94939.9021029128,0,1,1
648,77.40608545434566,10,96012.62668335058,3,1,1,137329.92115813342,0,0,1
702,41.5036108765116,9,21744.018693122594,3,1,0,130946.46601161314,0,0,0
645,57.9793476546079,2,218350.28704698276,3,1,0,132053.74438106557,0,1,0
810,63.978551434089326,5,157596.02480340254,4,0,0,68332.12824233083,1,0,0
446,82.48999639099108,10,242449.7414571378,1,1,0,127971.21894206104,1,1,1
447,41.94700702780482,10,5008.373412724451,2,0,0,29010.37814744484,1,0,0
788,78.85574283919269,7,107255.73129030838,3,0,1,83305.38170285776,1,0,0
637,70.65784766276718,9,26457.05973438503,2,0,1,50862.90206068498,1,0,0
772,67.12756915654323,1,88851.2170345038,3,0,0,24653.71204618746,1,0,1
450,37.20749643854754,7,41039.48938814081,4,0,0,100237.41157795096,1,0,1
714,41.90881317116897,0,83351.61407432638,4,1,1,29903.38608511642,0,0,0
597,55.6460700109033,10,207688.88814896028,2,0,1,35620.700734495105,1,0,0
562,65.88533954320883,1,40738.45027733659,1,0,0,30626.86182400227,0,0,1
443,60.48802789571608,7,120077.46747650711,4,0,0,146756.18183549173,0,1,1
645,37.562117420558174,6,233628.0400490521,2,1,0,25101.029692532087,1,1,0
301,25.03363254331252,4,253197.82756317727,4,1,0,55068.339135703085,0,1,0
603,32.2934984677323,9,63539.34987605985,3,1,0,104759.8023250204,0,1,0
553,73.43026264265559,1,237173.34876270167,2,1,0,127039.81772075158,0,0,1
752,21.372025040527205,8,66263.93531908991,2,0,1,99066.45815862749,0,0,0
336,59.18890366205763,4,104832.48786931272,3,0,0,146945.22832603217,1,1,0
459,23.31719224085604,7,222560.03311947064,2,0,0,63902.067146379966,0,0,0
308,58.38496901185497,3,199301.37145368705,3,0,1,81360.71399476685,1,1,0
532,58.82942550346465,8,217379.34425726315,1,0,1,126769.18666956632,0,1,1
398,52.53515125613474,9,202870.8996640368,3,1,1,108620.6610795856,0,1,0
507,69.18769195016668,6,59589.67765663301,1,0,0,47828.71820555272,1,1,0
430,34.00175423562549,1,141658.63369463672,2,1,1,84826.8062154644,1,0,0
703,67.48326682425967,2,97663.86442188724,3,0,0,146874.71117695043,0,0,1
451,43.89764406848356,1,116540.08040970749,2,1,1,132193.0128366467,1,1,0
353,44.928945577455266,4,39029.04446597792,1,1,1,44934.44168399679,1,0,0
419,38.256016614365066,1,80049.3772578139,4,1,1,43372.16669362082,1,0,0
719,78.70401354775572,4,217419.79494431298,4,0,0,127691.28725812098,1,0,0
721,34.72924593930236,8,227537.5974029883,4,1,1,45856.28518587456,1,1,0
403,42.82540456987628,1,154678.2529462811,4,0,1,78862.6211077536,0,1,0
553,35.37247624435447,8,126314.38051692671,4,0,1,43498.62243022079,1,0,0
526,53.85148262267035,6,180710.05539969096,1,1,0,21906.17206445171,0,0,0
411,70.30260894485924,6,154348.73563730606,4,1,0,133802.47399734764,0,0,0
809,55.730216655284096,4,249368.78213657194,4,1,0,121270.57748263824,0,1,0
772,33.93999460110818,7,48188.89398826359,2,1,0,81176.49580756873,1,1,0
398,71.04163056242365,6,113836.11028675635,3,0,0,40745.27000224417,0,1,0
452,86.02418236757715,5,232780.65853638086,3,0,1,124834.30206682536,1,0,0
637,74.15770030051259,1,231892.5103642633,3,0,1,66717.74587105503,1,0,0
462,67.2561757465235,5,125574.03518949923,3,1,0,106053.39095004994,1,1,1
460,34.794715510782936,1,34175.06435885251,1,1,1,61170.277679661536,0,1,0
697,63.508485174262646,0,206597.78334791152,3,1,1,76197.32364274644,1,1,0
576,71.93168927368512,8,148343.638869954,2,1,0,89611.33780497774,0,1,0
803,59.792945456992804,4,196003.2190708493,1,0,0,119062.11545249863,1,1,1
691,52.44663385082719,9,117253.1109664703,4,0,0,128168.91642498756,0,0,0
434,76.206066767043,9,51686.05991056078,2,0,1,77661.07709114879,0,1,0
494,73.60901031519782,3,6081.489606569157,2,1,0,50295.21720501384,1,0,0
700,47.19195653084784,10,141745.62558441085,4,1,0,39974.41270214301,1,1,1
332,54.84150818992929,7,40826.37988796326,4,1,0,64297.22326293969,1,0,0
759,37.0210934323719,4,47440.64604603347,2,1,1,124231.85320197255,0,1,0
769,38.65585166045568,6,110606.65680128724,1,1,1,55617.63729049367,1,1,0
674,65.6232681495435,2,112069.75952683546,4,0,1,26177.59559911533,0,0,0
321,44.519023362043896,7,69559.1268224221,3,1,0,93355.89131183983,0,1,0
337,29.880457188601174,7,33443.241150823065,2,0,1,24369.771489418992,0,1,0
529,57.206549551793174,2,239552.408445782,2,1,0,135040.26830234803,1,1,0
664,73.638699694026,8,33371.85538865137,4,0,0,108147.86233999868,1,1,1
737,79.34491108098273,7,88923.40627179922,4,1,1,53389.89641174756,1,1,1
582,57.030532108204255,0,77286.25769521593,3,1,0,80981.89553681001,1,1,1
326,44.597220511660176,7,219622.9698723535,3,0,1,116098.18786727553,0,0,0
525,81.78647400312079,10,103953.81880922301,3,1,0,139038.8983624344,0,1,1
576,81.48606444009512,3,31445.93095933038,3,1,0,133678.989024472,1,1,1
583,72.05791768088469,5,2601.245472524528,2,1,1,29039.097638341093,1,0,0
780,63.83872315408044,9,183019.4853184738,4,0,0,30548.36913578904,0,0,0
752,48.398552508574646,8,181131.23352642648,1,1,1,97704.08170858223,1,0,0
815,58.725301686180295,4,105911.20506226229,4,1,1,84544.48895226898,0,0,0
846,29.613837898414943,6,32019.99848398394,4,1,0,58081.819568277846,0,1,0
491,68.05210584461004,0,94211.87957811037,3,1,0,146902.50159512326,1,0,0
348,54.167731978704154,8,149539.49977346914,3,1,0,117014.71911087909,0,0,0
811,71.23435157978089,5,178454.6653713988,2,0,0,109351.26829060756,0,1,1
316,31.57626501749078,10,19834.38286520129,3,0,0,43572.86006092094,0,0,0
471,31.697523556205525,3,141027.99760636373,2,0,0,56911.015397199095,1,1,0
519,32.865303132417196,5,69999.46599929017,4,0,0,98652.4289343656,0,1,0
457,30.93612208087829,4,156481.5018000504,4,1,0,123427.5403675523,1,1,0
776,61.96682537546526,2,164308.24413514158,4,1,0,141037.84543355726,0,0,0
345,70.09000199434409,6,230844.6739576148,2,0,0,110704.49438024238,1,1,0
672,30.046407940365796,2,104033.90858316213,2,0,0,74422.81690749002,0,0,0
817,47.58784127551874,1,136283.149760683,2,0,1,109840.12320134236,0,0,0
398,47.4786316403418,3,67994.48810001576,3,0,0,28992.79424811093,0,0,1
336,62.52376667872544,6,72644.29375822119,1,0,0,98010.7647521157,0,1,0
579,52.57553615023952,4,11669.899073392742,3,1,0,136301.23294512703,1,0,0
648,29.414336636927423,8,72520.56145345647,1,0,1,102803.04696587849,0,0,0
796,75.4400515161683,9,16181.037930090155,3,1,0,20980.235348519403,0,0,0
601,50.45523741164802,6,244359.67695575228,4,1,1,110287.48620456064,1,0,0
480,66.20303397613732,8,158255.27916618835,2,0,1,114437.73702232503,0,1,0
398,86.55207620612708,8,43894.4219921135,3,1,0,90359.7898850095,0,0,0
415,42.37738256818304,1,29601.123089450586,2,1,0,126091.4697889284,1,1,0
490,88.61377003307561,0,93828.78136993824,3,1,0,46297.86460262013,0,0,0
552,26.670052473924574,10,77990.83861306202,4,1,1,73167.25213347774,1,1,0
460,47.35724671077705,3,70793.12188789064,2,0,1,124986.1824913036,0,1,0
555,78.06834846274863,3,118691.10912870555,4,1,1,98479.6744346021,1,1,0
622,45.44970355038158,1,231420.17129474756,1,1,0,149267.4822332027,0,0,1
427,45.56079279969831,2,144004.87886622842,2,0,0,29004.363285292755,1,1,0
317,64.12200022697277,2,132135.9846201272,3,0,1,51760.4467361697,1,0,0
622,30.695564557114643,4,204465.90562163258,2,0,1,45886.29582350512,1,1,0
587,60.839273718571164,0,1020.2683671054978,1,1,1,146930.9892160864,0,1,0
454,40.784801892412766,8,50038.70547774062,1,0,1,133004.14528594946,0,0,0
789,68.71055863323191,7,125786.75006823413,3,1,0,37306.06074126801,1,1,0
685,21.51781451731517,7,178800.98642059843,4,0,0,65994.50778277713,0,1,1
403,20.03767073496892,2,122958.18181155546,2,1,1,26837.63660019518,1,0,0
692,50.318664231810395,1,41503.19425606931,4,0,0,102233.7514288303,1,1,0
545,41.401395680556966,0,235757.42105030705,4,0,1,63055.31253169269,0,1,0
475,70.08836288755845,5,83319.00571390765,3,1,1,53483.354708484665,1,0,1
338,52.5234561302746,9,199818.41895126502,2,0,0,88005.23576482678,0,0,0
776,85.01245941039912,0,225979.7760382542,1,0,0,123421.70461329412,1,1,1
837,29.399314270013807,10,87827.44181633543,3,1,0,72509.28914943893,0,0,1
707,27.904343145040336,4,214292.696343502,4,0,1,118468.35585482806,1,0,0
824,48.13480013600506,8,180186.30808167416,1,0,1,77997.19358391786,1,0,1
805,53.984697042969295,10,229241.78157690362,4,1,0,47887.86611726727,0,1,0
335,64.08825405119728,8,63709.09418469797,2,1,0,78006.75438955681,0,0,0
319,48.94360238056625,3,236085.65936425768,4,0,0,89947.08640630901,0,0,1
620,53.22108258441257,6,16555.66772330157,1,0,1,80005.31862498524,1,0,0
811,64.72634283843155,10,201201.45429765736,2,1,1,55662.15730719274,1,0,0
699,26.140029217144765,6,110444.25743339109,3,1,0,44063.28466373579,0,1,1
770,61.294444045435924,3,45096.40287917695,4,0,0,143103.78572709556,0,1,1
442,45.370996338444876,4,20129.22772686459,2,1,1,58673.212643409046,0,0,0
391,79.90083383209848,10,98753.13340121588,2,0,0,111698.04959239734,0,1,0
653,36.83406573422404,8,98696.4511561948,3,0,1,64290.27080220416,0,0,0
350,46.78654391061484,6,58295.87261838846,3,1,0,146053.5932677316,0,1,0
489,24.695352771964505,6,54634.72394044326,1,1,1,148476.2396171288,0,1,0
424,74.56634560668165,9,101279.78581053369,2,1,1,127262.52507623544,0,0,0
449,48.17864695534091,6,103966.85788721697,2,1,0,95591.55911736902,0,0,0
613,35.22388886612671,8,112142.70009459785,1,0,0,90468.75198471082,0,0,1
641,41.662730096415345,4,220236.83517421532,4,1,1,62764.98246564488,1,0,0
604,53.512352762559516,5,154957.47158207058,2,0,0,35863.71287838569,0,0,1
353,82.77987578336878,2,5179.956495355799,2,0,0,30277.94764829092,1,1,1
743,47.595664524264734,0,131595.4404563604,4,0,0,80508.17592815743,1,0,1
563,71.83858530006064,10,193286.95950539454,3,0,1,147242.53346990072,1,0,0
352,44.757009340671495,1,14301.437824728195,3,0,1,52094.12848637613,1,1,0
304,56.53429942009868,7,107134.17693428785,3,1,1,73423.81370626623,1,0,0
402,46.870315414578556,0,114385.05927843304,1,1,0,103384.53670095131,1,1,1
495,41.17283463982443,9,241851.1366021582,4,0,1,65638.29699109499,1,1,0
649,58.11505575717634,6,120589.34858696978,3,1,0,20471.86750776256,0,0,0
346,64.59398324283583,4,190105.18109865198,1,1,0,71508.22751361935,0,0,1
568,18.498705442532355,5,76787.87570388924,4,0,1,124603.38687088274,1,0,0
669,76.88257573131715,7,197559.91487403453,3,0,1,142714.7950449913,1,1,0
405,38.641911722143526,3,81797.26114368292,2,1,1,55761.80348341636,1,0,0
419,68.77686098940377,5,109014.11296843327,2,0,0,139813.93348408287,1,1,0
357,18.57247773737091,10,121552.25140659414,3,1,0,132729.31195040548,1,0,1
645,35.93811728595967,2,234839.76314277467,3,1,1,72874.09956385722,0,0,0
773,76.36493690316654,6,13550.86388386458,1,0,0,20608.11610539396,1,1,0
416,25.014915549651768,1,49907.25734969337,2,1,1,129833.8706473914,1,1,0
426,21.010856609994256,7,178910.9288995838,4,1,1,57280.428997772906,0,1,0
692,47.86129387867861,6,146420.1455812234,3,0,1,118265.25461697196,1,0,0
357,68.22759611820192,7,63765.04037627524,4,0,0,94296.8918449195,1,1,0
812,34.03498544435408,1,73314.53238220006,3,1,1,48816.38781876251,1,0,0
395,77.93178749904476,2,93115.63118140293,2,0,1,104267.5198285762,0,0,1
417,47.382850780454696,3,114166.23332779478,3,1,1,119429.23022421708,1,1,0
787,62.42791230773196,8,207375.88739939677,4,0,1,81677.87050191399,0,0,0
536,44.42694332655683,4,3502.3239588458287,2,0,0,117228.3360715548,0,0,1
571,67.12081928329117,5,227654.54825617807,3,1,0,72646.33894017799,0,0,0
488,33.42588021959026,0,104705.38252196088,2,1,0,147432.70436692843,1,1,0
746,53.72293996620972,3,58432.80033559764,1,1,0,51175.10571662031,1,0,1
546,35.90712342332837,3,128886.32412712999,4,0,0,121121.11261806425,1,1,0
375,55.541596691023884,9,167231.16283164866,3,1,0,117448.26741748088,1,1,0
453,77.21843682098459,7,11345.013674436977,3,0,0,88827.57733743727,0,0,0
734,82.60516880291046,7,181454.77450791237,3,0,1,65543.97392000642,0,0,0
385,41.36901213162015,9,192858.50470971622,4,1,1,77948.79064620181,1,0,0
584,40.67746477733945,5,42128.42004420285,1,1,0,101833.3656517894,1,0,1
519,26.034663547709084,7,42559.1654434023,4,0,1,88945.4523647924,1,1,0
368,26.67119754871109,8,51660.86955159856,3,1,0,119000.22083862848,0,1,0
346,65.08957598521789,4,201951.18353246848,4,0,0,66888.63461883031,1,1,1
393,59.21023358454794,0,68954.75676140448,3,0,1,33941.854547055926,0,1,0
752,42.32108965296271,0,201775.5349212216,4,0,1,85727.38276068009,1,1,0
503,36.25236794536815,1,137026.73703156103,2,1,1,53671.52825595904,1,1,0
517,35.00271136152952,1,194483.522566389,4,0,1,100162.950558673,0,0,0
773,81.77259458226831,4,140360.15067427343,3,0,0,87641.97900251964,0,1,0
731,77.99122192572493,6,85119.86269393511,3,1,1,121237.31364488366,0,0,0
